Year,Population,Increase,%
1999,272690813,2442810,0.90
1998,270248003,2464396,0.92
1997,267783607,2555035,0.96
1996,265228572,2425296,0.92
1995,262803276,2476255,0.95
1994,260327021,2544413,0.99
1993,257782608,2752909,1.08
1992,255029699,2876607,1.14
1991,252153092,2688696,1.08
1990,249464396,2645166,1.07
1989,246819230,2320248,0.94
1988,244498982,2210064,0.91
1987,242288918,2156031,0.89
1986,240132887,2209092,0.92
1985,237923795,2098893,0.89
1984,235824902,2032908,0.87
1983,233791994,2127536,0.91
1982,231664458,2198744,0.95
1981,229465714,2241033,0.98
1980,227224681,2169194,0.96
1979,225055487,2470942,1.10
1978,222584545,2345120,1.06
1977,220239425,2204261,1.01
1976,218035164,2061965,0.95
1975,215973199,2119271,0.99
1974,213853928,1945140,0.91
1973,211908788,2012767,0.95
1972,209896021,2235344,1.07
1971,207660677,2608503,1.26
1970,205052174,2375228,1.17
1969,202676946,1970894,0.98
1968,200706052,1993996,1.00
1967,198712056,2151718,1.09
1966,196560338,2257375,1.16
1965,194302963,2414172,1.25
1964,191888791,2646993,1.39
1963,189241798,2704061,1.44
1962,186537737,2846256,1.54
1961,183691481,3020323,1.66
1960,180671158,2841530,1.59
1959,177829628,2947724,1.67
1958,174881904,2897774,1.67
1957,171984130,3081099,1.81
1956,168903031,2971829,1.78
1955,165931202,2905348,1.77
1954,163025854,2841662,1.76
1953,160184192,2631452,1.66
1952,157552740,2674851,1.71
1951,154877889,2606472,1.70
1950,152271417,3083287,2.05
1949,149188130,2556828,1.73
1948,146631302,2505231,1.72
1947,144126071,2737505,1.92
1946,141388566,1460401,1.04
1945,139928165,1530820,1.10
1944,138397345,1657992,1.21
1943,136739353,1879800,1.38
1942,134859553,1457082,1.09
1941,133402471,1280025,0.96
1940,132122446,1242728,0.95
